Aguascalientes	39,912
Baja California	43,921
Baja California Sur	25,690
Campeche	28,283
Coahuila de Zaragoza	25,299
Colima	27,074
Chiapas	20,464
Chihuahua	28,857
Ciudad de México	68,954
Durango	22,566
Guanajuato	29,231
Guerrero	45,006
Hidalgo	22,135
Jalisco	43,023
Estado de México	65,381
Michoacán de Ocampo	22,624
Morelos	48,528
Nayarit	33,105
Nuevo León	32,407
Oaxaca	22,152
Puebla	42,343
Querétaro	35,395
Quintana Roo	33,269
San Luis Potosí	31,673
Sinaloa	28,748
Sonora	39,759
Tabasco	45,604
Tamaulipas	23,706
Tlaxcala	33,847
Veracruz de Ignacio de la Llave	18,300
Yucatán	24,098
Zacatecas	34,642
