Chihuahua	3 556 574	28,857
Sonora	2 850 330	39,759
Coahuila de Zaragoza	2 954 915	25,299
Durango	1 754 754	22,566
Oaxaca	3 967 889	22,152
Tamaulipas	3 441 698	23,706
Jalisco	7 844 830	43,023
Zacatecas	1 579 209	34,642
Baja California Sur	712 029	25,690
Chiapas	5 217 908	20,464
Veracruz	8 112 505	18,300
Baja California	3 315 766	43,921
Nuevo León	5 119 504	32,407
Guerrero	3 533 251	45,006
San Luis Potosí	2 717 820	31,673
Michoacán	4 584 471	22,624
Sinaloa	2 966 321	28,748
Campeche	899 931	28,283
Quintana Roo	1 501 562	33,269
Yucatán	2 097 175	24,098
Puebla	6 168 883	42,343
Guanajuato	5 853 677	29,231
Nayarit	1 181 050	33,105
Tabasco	2 395 272	45,604
Estado de México	16 187 608	65,381
Hidalgo	2 858 359	22,135
Querétaro	2 038 372	35,395
Colima	711 235	27,074
Aguascalientes	1 312 544	39,912
Morelos	1 903 811	48,528
Tlaxcala	1 272 847	33,847
Ciudad de México	8 918 653	68,954
