"Boston, MA",164 (1)
"Washington, DC",155 (2)
"Chicago, IL",138 (4)
"New York City, NY",133 (5)
"Los Angeles, CA",128 (6)
"Seattle, WA",138 (3)
"Pittsburgh, PA",127 (7)
"San Francisco, CA",116 (9)
"Philadelphia, PA",112 (10)
"Portland, OR",116 (8)
"Atlanta, GA",108 (11)
"Miami, FL",105 (12)
"Houston, TX",98 (14)
"Austin, TX",104 (13)
"Baltimore, MD",94 (16)
"Charlotte, NC",95 (15)
"Tampa, FL",87 (19)
"Honolulu, HI",92 (17)
"Denver, CO",83 (20)
"Nashville, TN",87 (18)
"Dallas, TX",76 (22)
"Phoenix, AZ",73 (25)
"Orlando, FL",74 (23)
"Minneapolis, MN",70 (28)
"Columbus, OH",71 (27)
